date,day_of_week,day_name,weekend,holiday,special_event,weather,shift,role,covers,employees_required,employees_scheduled,absent,actual_present,hours_per_employee,hourly_wage,labor_cost,service_score
2024-01-04,3,Thursday,0,0,0,Sunny,Dinner,Cook,186,12,13,1,12,6.5,20.0,1560.0,4.9
2024-01-04,3,Thursday,0,0,0,Sunny,Dinner,Host,186,8,8,0,8,6.5,15.0,780.0,4.61
2024-01-04,3,Thursday,0,0,0,Sunny,Dinner,Cashier,186,7,6,1,5,6.5,14.0,455.0,3.68
2024-01-04,3,Thursday,0,0,0,Sunny,Dinner,Dishwasher,186,9,9,1,8,6.5,13.0,676.0,4.14
2024-01-05,4,Friday,1,0,0,Snow,Lunch,Server,73,10,10,2,8,5.0,14.0,560.0,3.85
2024-01-05,4,Friday,1,0,0,Snow,Lunch,Cook,73,5,5,0,5,5.0,20.0,500.0,4.71
2024-01-05,4,Friday,1,0,0,Snow,Lunch,Host,73,3,4,0,4,5.0,15.0,300.0,4.65
2024-01-05,4,Friday,1,0,0,Snow,Lunch,Cashier,73,3,4,0,4,5.0,14.0,280.0,4.9
2024-01-05,4,Friday,1,0,0,Snow,Lunch,Dishwasher,73,4,5,0,5,5.0,13.0,325.0,4.73
2024-01-05,4,Friday,1,0,0,Snow,Dinner,Server,168,21,21,3,18,6.5,14.0,1638.0,2.96
2024-01-05,4,Friday,1,0,0,Snow,Dinner,Cook,168,11,11,0,11,6.5,20.0,1430.0,4.84
2024-01-05,4,Friday,1,0,0,Snow,Dinner,Host,168,7,6,0,6,6.5,15.0,585.0,4.12
2024-01-05,4,Friday,1,0,0,Snow,Dinner,Cashier,168,6,7,2,5,6.5,14.0,455.0,4.24
2024-01-05,4,Friday,1,0,0,Snow,Dinner,Dishwasher,168,8,9,1,8,6.5,13.0,676.0,4.9
2024-01-06,5,Saturday,1,0,0,Snow,Lunch,Server,65,9,10,0,10,5.0,14.0,700.0,4.84
2024-01-06,5,Saturday,1,0,0,Snow,Lunch,Cook,65,5,6,0,6,5.0,20.0,600.0,4.6
2024-01-06,5,Saturday,1,0,0,Snow,Lunch,Host,65,3,4,2,2,5.0,15.0,150.0,4.06
2024-01-06,5,Saturday,1,0,0,Snow,Lunch,Cashier,65,3,4,0,4,5.0,14.0,280.0,4.66
2024-01-06,5,Saturday,1,0,0,Snow,Lunch,Dishwasher,65,3,3,0,3,5.0,13.0,195.0,4.87
2024-01-06,5,Saturday,1,0,0,Snow,Dinner,Server,197,25,25,3,22,6.5,14.0,2002.0,2.99
2024-01-06,5,Saturday,1,0,0,Snow,Dinner,Cook,197,13,13,1,12,6.5,20.0,1560.0,4.14
2024-01-06,5,Saturday,1,0,0,Snow,Dinner,Host,197,8,7,0,7,6.5,15.0,682.5,4.35
2024-01-06,5,Saturday,1,0,0,Snow,Dinner,Cashier,197,8,8,0,8,6.5,14.0,728.0,4.82
2024-01-06,5,Saturday,1,0,0,Snow,Dinner,Dishwasher,197,9,8,2,6,6.5,13.0,507.0,2.91
2024-01-07,6,Sunday,1,0,0,Sunny,Lunch,Server,99,13,14,0,14,5.0,14.0,980.0,4.79
2024-01-07,6,Sunday,1,0,0,Sunny,Lunch,Cook,99,7,8,1,7,5.0,20.0,700.0,4.74
2024-01-07,6,Sunday,1,0,0,Sunny,Lunch,Host,99,4,5,0,5,5.0,15.0,375.0,4.7
2024-01-07,6,Sunday,1,0,0,Sunny,Lunch,Cashier,99,4,4,0,4,5.0,14.0,280.0,4.92
2024-01-07,6,Sunday,1,0,0,Sunny,Lunch,Dishwasher,99,5,6,1,5,5.0,13.0,325.0,4.61
2024-01-07,6,Sunday,1,0,0,Sunny,Dinner,Server,207,26,26,2,24,6.5,14.0,2184.0,3.49
2024-01-07,6,Sunday,1,0,0,Sunny,Dinner,Cook,207,13,14,1,13,6.5,20.0,1690.0,5.0
2024-01-07,6,Sunday,1,0,0,Sunny,Dinner,Host,207,9,8,0,8,6.5,15.0,780.0,4.2
2024-01-07,6,Sunday,1,0,0,Sunny,Dinner,Cashier,207,8,7,0,7,6.5,14.0,637.0,4.2
2024-01-07,6,Sunday,1,0,0,Sunny,Dinner,Dishwasher,207,10,9,1,8,6.5,13.0,676.0,3.68
2024-01-08,0,Monday,0,0,0,Sunny,Lunch,Server,114,15,15,0,15,5.0,14.0,1050.0,4.95
2024-01-08,0,Monday,0,0,0,Sunny,Lunch,Cook,114,8,9,0,9,5.0,20.0,900.0,4.58
2024-01-08,0,Monday,0,0,0,Sunny,Lunch,Host,114,5,4,0,4,5.0,15.0,300.0,4.04
2024-01-08,0,Monday,0,0,0,Sunny,Lunch,Cashier,114,5,5,0,5,5.0,14.0,350.0,4.75
2024-01-08,0,Monday,0,0,0,Sunny,Lunch,Dishwasher,114,6,6,0,6,5.0,13.0,390.0,4.8
2024-01-08,0,Monday,0,0,0,Sunny,Dinner,Server,184,23,23,3,20,6.5,14.0,1820.0,3.38
2024-01-08,0,Monday,0,0,0,Sunny,Dinner,Cook,184,12,13,0,13,6.5,20.0,1690.0,4.83
2024-01-08,0,Monday,0,0,0,Sunny,Dinner,Host,184,8,9,1,8,6.5,15.0,780.0,4.72
2024-01-08,0,Monday,0,0,0,Sunny,Dinner,Cashier,184,7,7,0,7,6.5,14.0,637.0,4.91
2024-01-08,0,Monday,0,0,0,Sunny,Dinner,Dishwasher,184,9,9,0,9,6.5,13.0,760.5,4.88
2024-01-09,1,Tuesday,0,0,0,Sunny,Lunch,Server,102,13,14,1,13,5.0,14.0,910.0,4.92
2024-01-09,1,Tuesday,0,0,0,Sunny,Lunch,Cook,102,7,8,0,8,5.0,20.0,800.0,4.74
2024-01-09,1,Tuesday,0,0,0,Sunny,Lunch,Host,102,5,6,0,6,5.0,15.0,450.0,4.85
2024-01-09,1,Tuesday,0,0,0,Sunny,Lunch,Cashier,102,4,5,0,5,5.0,14.0,350.0,4.76
2024-01-09,1,Tuesday,0,0,0,Sunny,Lunch,Dishwasher,102,5,5,0,5,5.0,13.0,325.0,4.94
2024-01-09,1,Tuesday,0,0,0,Sunny,Dinner,Server,186,24,24,1,23,6.5,14.0,2093.0,4.05
2024-01-09,1,Tuesday,0,0,0,Sunny,Dinner,Cook,186,12,12,0,12,6.5,20.0,1560.0,4.84
2024-01-09,1,Tuesday,0,0,0,Sunny,Dinner,Host,186,8,7,0,7,6.5,15.0,682.5,4.03
2024-01-09,1,Tuesday,0,0,0,Sunny,Dinner,Cashier,186,7,6,1,5,6.5,14.0,455.0,3.72
2024-01-09,1,Tuesday,0,0,0,Sunny,Dinner,Dishwasher,186,9,10,0,10,6.5,13.0,845.0,4.8
2024-01-10,2,Wednesday,0,0,0,Snow,Lunch,Server,68,9,10,1,9,5.0,14.0,630.0,4.85
2024-01-10,2,Wednesday,0,0,0,Snow,Lunch,Cook,68,5,6,0,6,5.0,20.0,600.0,4.76
2024-01-10,2,Wednesday,0,0,0,Snow,Lunch,Host,68,3,3,0,3,5.0,15.0,225.0,4.84
2024-01-10,2,Wednesday,0,0,0,Snow,Lunch,Cashier,68,3,4,1,3,5.0,14.0,210.0,4.67
2024-01-10,2,Wednesday,0,0,0,Snow,Lunch,Dishwasher,68,4,4,1,3,5.0,13.0,195.0,4.28
2024-01-10,2,Wednesday,0,0,0,Snow,Dinner,Server,134,17,17,1,16,6.5,14.0,1456.0,4.1
2024-01-10,2,Wednesday,0,0,0,Snow,Dinner,Cook,134,9,9,0,9,6.5,20.0,1170.0,4.85
2024-01-10,2,Wednesday,0,0,0,Snow,Dinner,Host,134,6,6,1,5,6.5,15.0,487.5,4.07
2024-01-10,2,Wednesday,0,0,0,Snow,Dinner,Cashier,134,5,5,0,5,6.5,14.0,455.0,4.68
2024-01-10,2,Wednesday,0,0,0,Snow,Dinner,Dishwasher,134,7,7,1,6,6.5,13.0,507.0,4.18
2024-01-11,3,Thursday,0,0,0,Snow,Lunch,Server,86,11,11,1,10,5.0,14.0,700.0,3.93
2024-01-11,3,Thursday,0,0,0,Snow,Lunch,Cook,86,6,7,1,6,5.0,20.0,600.0,4.86
2024-01-11,3,Thursday,0,0,0,Snow,Lunch,Host,86,4,5,0,5,5.0,15.0,375.0,4.96
2024-01-11,3,Thursday,0,0,0,Snow,Lunch,Cashier,86,4,4,0,4,5.0,14.0,280.0,4.71
2024-01-11,3,Thursday,0,0,0,Snow,Lunch,Dishwasher,86,4,5,1,4,5.0,13.0,260.0,4.76
2024-01-11,3,Thursday,0,0,0,Snow,Dinner,Server,147,19,20,2,18,6.5,14.0,1638.0,4.01
2024-01-11,3,Thursday,0,0,0,Snow,Dinner,Cook,147,10,11,0,11,6.5,20.0,1430.0,4.72
2024-01-11,3,Thursday,0,0,0,Snow,Dinner,Host,147,6,5,1,4,6.5,15.0,390.0,3.59
2024-01-11,3,Thursday,0,0,0,Snow,Dinner,Cashier,147,6,5,0,5,6.5,14.0,455.0,4.06
2024-01-11,3,Thursday,0,0,0,Snow,Dinner,Dishwasher,147,7,7,0,7,6.5,13.0,591.5,4.96
2024-01-12,4,Friday,1,0,0,Cloudy,Lunch,Server,135,17,18,1,17,5.0,14.0,1190.0,4.87
2024-01-12,4,Friday,1,0,0,Cloudy,Lunch,Cook,135,9,8,0,8,5.0,20.0,800.0,4.43
2024-01-12,4,Friday,1,0,0,Cloudy,Lunch,Host,135,6,6,0,6,5.0,15.0,450.0,4.67
2024-01-12,4,Friday,1,0,0,Cloudy,Lunch,Cashier,135,5,5,0,5,5.0,14.0,350.0,4.56
2024-01-12,4,Friday,1,0,0,Cloudy,Lunch,Dishwasher,135,7,7,1,6,5.0,13.0,390.0,3.95
2024-01-12,4,Friday,1,0,0,Cloudy,Dinner,Server,231,29,28,3,25,6.5,14.0,2275.0,2.73
2024-01-12,4,Friday,1,0,0,Cloudy,Dinner,Cook,231,15,13,0,13,6.5,20.0,1690.0,3.77
2024-01-12,4,Friday,1,0,0,Cloudy,Dinner,Host,231,10,9,2,7,6.5,15.0,682.5,2.9
2024-01-12,4,Friday,1,0,0,Cloudy,Dinner,Cashier,231,9,8,0,8,6.5,14.0,728.0,4.16
2024-01-12,4,Friday,1,0,0,Cloudy,Dinner,Dishwasher,231,11,9,0,9,6.5,13.0,760.5,3.49
2024-01-13,5,Saturday,1,0,0,Sunny,Lunch,Server,130,17,16,2,14,5.0,14.0,980.0,2.63
2024-01-13,5,Saturday,1,0,0,Sunny,Lunch,Cook,130,9,10,0,10,5.0,20.0,1000.0,4.79
2024-01-13,5,Saturday,1,0,0,Sunny,Lunch,Host,130,6,7,1,6,5.0,15.0,450.0,4.71
2024-01-13,5,Saturday,1,0,0,Sunny,Lunch,Cashier,130,5,5,0,5,5.0,14.0,350.0,4.7
2024-01-13,5,Saturday,1,0,0,Sunny,Lunch,Dishwasher,130,6,6,1,5,5.0,13.0,325.0,4.21
2024-01-13,5,Saturday,1,0,0,Sunny,Dinner,Server,253,32,31,2,29,6.5,14.0,2639.0,3.2
2024-01-13,5,Saturday,1,0,0,Sunny,Dinner,Cook,253,16,15,0,15,6.5,20.0,1950.0,4.16
2024-01-13,5,Saturday,1,0,0,Sunny,Dinner,Host,253,11,11,1,10,6.5,15.0,975.0,3.97
2024-01-13,5,Saturday,1,0,0,Sunny,Dinner,Cashier,253,10,10,0,10,6.5,14.0,910.0,4.8
2024-01-13,5,Saturday,1,0,0,Sunny,Dinner,Dishwasher,253,12,12,1,11,6.5,13.0,929.5,4.13
2024-01-14,6,Sunday,1,0,0,Sunny,Lunch,Server,124,16,16,4,12,5.0,14.0,840.0,2.65
2024-01-14,6,Sunday,1,0,0,Sunny,Lunch,Cook,124,8,7,0,7,5.0,20.0,700.0,4.3
2024-01-14,6,Sunday,1,0,0,Sunny,Lunch,Host,124,5,4,0,4,5.0,15.0,300.0,4.17
2024-01-14,6,Sunday,1,0,0,Sunny,Lunch,Cashier,124,5,6,0,6,5.0,14.0,420.0,4.67
2024-01-14,6,Sunday,1,0,0,Sunny,Lunch,Dishwasher,124,6,7,2,5,5.0,13.0,325.0,4.16
2024-01-14,6,Sunday,1,0,0,Sunny,Dinner,Server,230,29,28,2,26,6.5,14.0,2366.0,3.18
2024-01-14,6,Sunday,1,0,0,Sunny,Dinner,Cook,230,15,15,0,15,6.5,20.0,1950.0,4.69
2024-01-14,6,Sunday,1,0,0,Sunny,Dinner,Host,230,10,9,0,9,6.5,15.0,877.5,3.9
2024-01-14,6,Sunday,1,0,0,Sunny,Dinner,Cashier,230,9,8,0,8,6.5,14.0,728.0,4.13
2024-01-14,6,Sunday,1,0,0,Sunny,Dinner,Dishwasher,230,11,9,0,9,6.5,13.0,760.5,3.61
2024-01-15,0,Monday,0,0,0,Sunny,Lunch,Server,110,14,14,1,13,5.0,14.0,910.0,4.22
2024-01-15,0,Monday,0,0,0,Sunny,Lunch,Cook,110,7,7,0,7,5.0,20.0,700.0,4.99
2024-01-15,0,Monday,0,0,0,Sunny,Lunch,Host,110,5,6,1,5,5.0,15.0,375.0,4.86
2024-01-15,0,Monday,0,0,0,Sunny,Lunch,Cashier,110,4,3,0,3,5.0,14.0,210.0,4.01
2024-01-15,0,Monday,0,0,0,Sunny,Lunch,Dishwasher,110,5,5,1,4,5.0,13.0,260.0,4.26
2024-01-15,0,Monday,0,0,0,Sunny,Dinner,Server,167,21,22,2,20,6.5,14.0,1820.0,4.1
2024-01-15,0,Monday,0,0,0,Sunny,Dinner,Cook,167,11,11,1,10,6.5,20.0,1300.0,4.3
2024-01-15,0,Monday,0,0,0,Sunny,Dinner,Host,167,7,7,0,7,6.5,15.0,682.5,4.72
2024-01-15,0,Monday,0,0,0,Sunny,Dinner,Cashier,167,6,6,0,6,6.5,14.0,546.0,4.81
2024-01-15,0,Monday,0,0,0,Sunny,Dinner,Dishwasher,167,8,8,2,6,6.5,13.0,507.0,3.48
2024-01-16,1,Tuesday,0,0,0,Sunny,Lunch,Server,87,11,11,1,10,5.0,14.0,700.0,4.12
2024-01-16,1,Tuesday,0,0,0,Sunny,Lunch,Cook,87,6,7,0,7,5.0,20.0,700.0,5.0
2024-01-16,1,Tuesday,0,0,0,Sunny,Lunch,Host,87,4,4,0,4,5.0,15.0,300.0,4.81
2024-01-16,1,Tuesday,0,0,0,Sunny,Lunch,Cashier,87,4,5,0,5,5.0,14.0,350.0,4.75
2024-01-16,1,Tuesday,0,0,0,Sunny,Lunch,Dishwasher,87,4,4,1,3,5.0,13.0,195.0,4.04
2024-01-16,1,Tuesday,0,0,0,Sunny,Dinner,Server,157,20,20,2,18,6.5,14.0,1638.0,3.43
2024-01-16,1,Tuesday,0,0,0,Sunny,Dinner,Cook,157,10,10,0,10,6.5,20.0,1300.0,4.66
2024-01-16,1,Tuesday,0,0,0,Sunny,Dinner,Host,157,7,8,0,8,6.5,15.0,780.0,4.62
2024-01-16,1,Tuesday,0,0,0,Sunny,Dinner,Cashier,157,6,6,1,5,6.5,14.0,455.0,4.18
2024-01-16,1,Tuesday,0,0,0,Sunny,Dinner,Dishwasher,157,8,8,0,8,6.5,13.0,676.0,4.67
2024-01-17,2,Wednesday,0,0,0,Snow,Lunch,Server,80,10,11,0,11,5.0,14.0,770.0,5.0
2024-01-17,2,Wednesday,0,0,0,Snow,Lunch,Cook,80,5,6,1,5,5.0,20.0,500.0,4.98
2024-01-17,2,Wednesday,0,0,0,Snow,Lunch,Host,80,4,5,0,5,5.0,15.0,375.0,4.79
2024-01-17,2,Wednesday,0,0,0,Snow,Lunch,Cashier,80,3,3,0,3,5.0,14.0,210.0,4.9
2024-01-17,2,Wednesday,0,0,0,Snow,Lunch,Dishwasher,80,4,5,0,5,5.0,13.0,325.0,4.66
2024-01-17,2,Wednesday,0,0,0,Snow,Dinner,Server,110,14,14,1,13,6.5,14.0,1183.0,4.23
2024-01-17,2,Wednesday,0,0,0,Snow,Dinner,Cook,110,7,6,0,6,6.5,20.0,780.0,4.12
2024-01-17,2,Wednesday,0,0,0,Snow,Dinner,Host,110,5,5,1,4,6.5,15.0,390.0,4.15
2024-01-17,2,Wednesday,0,0,0,Snow,Dinner,Cashier,110,4,4,0,4,6.5,14.0,364.0,4.71
2024-01-17,2,Wednesday,0,0,0,Snow,Dinner,Dishwasher,110,5,6,0,6,6.5,13.0,507.0,4.65
2024-01-18,3,Thursday,0,0,0,Sunny,Lunch,Server,102,13,13,0,13,5.0,14.0,910.0,4.78
2024-01-18,3,Thursday,0,0,0,Sunny,Lunch,Cook,102,7,7,1,6,5.0,20.0,600.0,4.09
2024-01-18,3,Thursday,0,0,0,Sunny,Lunch,Host,102,5,6,0,6,5.0,15.0,450.0,4.9
2024-01-18,3,Thursday,0,0,0,Sunny,Lunch,Cashier,102,4,4,1,3,5.0,14.0,210.0,3.78
2024-01-18,3,Thursday,0,0,0,Sunny,Lunch,Dishwasher,102,5,5,0,5,5.0,13.0,325.0,4.61
2024-01-18,3,Thursday,0,0,0,Sunny,Dinner,Server,208,26,26,0,26,6.5,14.0,2366.0,4.67
2024-01-18,3,Thursday,0,0,0,Sunny,Dinner,Cook,208,13,12,1,11,6.5,20.0,1430.0,3.43
2024-01-18,3,Thursday,0,0,0,Sunny,Dinner,Host,208,9,8,0,8,6.5,15.0,780.0,4.27
2024-01-18,3,Thursday,0,0,0,Sunny,Dinner,Cashier,208,8,8,1,7,6.5,14.0,637.0,4.06
2024-01-18,3,Thursday,0,0,0,Sunny,Dinner,Dishwasher,208,10,9,0,9,6.5,13.0,760.5,4.19
2024-01-19,4,Friday,1,0,1,Sunny,Lunch,Server,126,16,16,3,13,5.0,14.0,910.0,3.11
2024-01-19,4,Friday,1,0,1,Sunny,Lunch,Cook,126,8,8,0,8,5.0,20.0,800.0,4.89
2024-01-19,4,Friday,1,0,1,Sunny,Lunch,Host,126,6,6,0,6,5.0,15.0,450.0,4.51
2024-01-19,4,Friday,1,0,1,Sunny,Lunch,Cashier,126,5,6,1,5,5.0,14.0,350.0,4.95
2024-01-19,4,Friday,1,0,1,Sunny,Lunch,Dishwasher,126,6,7,1,6,5.0,13.0,390.0,4.79
2024-01-19,4,Friday,1,0,1,Sunny,Dinner,Server,297,38,37,1,36,6.5,14.0,3276.0,3.48
2024-01-19,4,Friday,1,0,1,Sunny,Dinner,Cook,297,19,19,1,18,6.5,20.0,2340.0,4.2
2024-01-19,4,Friday,1,0,1,Sunny,Dinner,Host,297,12,12,0,12,6.5,15.0,1170.0,4.69
2024-01-19,4,Friday,1,0,1,Sunny,Dinner,Cashier,297,11,10,1,9,6.5,14.0,819.0,3.84
2024-01-19,4,Friday,1,0,1,Sunny,Dinner,Dishwasher,297,14,12,0,12,6.5,13.0,1014.0,3.43
2024-01-20,5,Saturday,1,0,0,Snow,Lunch,Server,99,13,13,2,11,5.0,14.0,770.0,3.34
2024-01-20,5,Saturday,1,0,0,Snow,Lunch,Cook,99,7,7,0,7,5.0,20.0,700.0,4.65
2024-01-20,5,Saturday,1,0,0,Snow,Lunch,Host,99,4,4,0,4,5.0,15.0,300.0,4.69
2024-01-20,5,Saturday,1,0,0,Snow,Lunch,Cashier,99,4,4,0,4,5.0,14.0,280.0,4.59
2024-01-20,5,Saturday,1,0,0,Snow,Lunch,Dishwasher,99,5,6,0,6,5.0,13.0,390.0,4.86
2024-01-20,5,Saturday,1,0,0,Snow,Dinner,Server,193,25,24,2,22,6.5,14.0,2002.0,2.74
2024-01-20,5,Saturday,1,0,0,Snow,Dinner,Cook,193,13,13,1,12,6.5,20.0,1560.0,4.09
2024-01-20,5,Saturday,1,0,0,Snow,Dinner,Host,193,8,8,0,8,6.5,15.0,780.0,5.0
2024-01-20,5,Saturday,1,0,0,Snow,Dinner,Cashier,193,7,7,1,6,6.5,14.0,546.0,4.25
2024-01-20,5,Saturday,1,0,0,Snow,Dinner,Dishwasher,193,9,8,2,6,6.5,13.0,507.0,3.08
2024-01-21,6,Sunday,1,0,0,Snow,Lunch,Server,75,10,11,1,10,5.0,14.0,700.0,4.86
2024-01-21,6,Sunday,1,0,0,Snow,Lunch,Cook,75,5,6,0,6,5.0,20.0,600.0,4.91
2024-01-21,6,Sunday,1,0,0,Snow,Lunch,Host,75,3,3,1,2,5.0,15.0,150.0,4.28
2024-01-21,6,Sunday,1,0,0,Snow,Lunch,Cashier,75,3,4,1,3,5.0,14.0,210.0,4.77
2024-01-21,6,Sunday,1,0,0,Snow,Lunch,Dishwasher,75,4,5,0,5,5.0,13.0,325.0,4.8
2024-01-21,6,Sunday,1,0,0,Snow,Dinner,Server,168,21,22,0,22,6.5,14.0,2002.0,4.89
2024-01-21,6,Sunday,1,0,0,Snow,Dinner,Cook,168,11,10,0,10,6.5,20.0,1300.0,4.21
2024-01-21,6,Sunday,1,0,0,Snow,Dinner,Host,168,7,7,0,7,6.5,15.0,682.5,4.71
2024-01-21,6,Sunday,1,0,0,Snow,Dinner,Cashier,168,6,6,1,5,6.5,14.0,455.0,4.17
2024-01-21,6,Sunday,1,0,0,Snow,Dinner,Dishwasher,168,8,8,0,8,6.5,13.0,676.0,4.56
2024-01-22,0,Monday,0,0,1,Snow,Lunch,Server,95,12,13,1,12,5.0,14.0,840.0,4.72
2024-01-22,0,Monday,0,0,1,Snow,Lunch,Cook,95,6,7,1,6,5.0,20.0,600.0,4.99
2024-01-22,0,Monday,0,0,1,Snow,Lunch,Host,95,4,5,0,5,5.0,15.0,375.0,4.95
2024-01-22,0,Monday,0,0,1,Snow,Lunch,Cashier,95,4,4,0,4,5.0,14.0,280.0,4.7
2024-01-22,0,Monday,0,0,1,Snow,Lunch,Dishwasher,95,5,5,0,5,5.0,13.0,325.0,4.77
2024-01-22,0,Monday,0,0,1,Snow,Dinner,Server,157,20,21,2,19,6.5,14.0,1729.0,4.33
2024-01-22,0,Monday,0,0,1,Snow,Dinner,Cook,157,10,10,1,9,6.5,20.0,1170.0,4.11
2024-01-22,0,Monday,0,0,1,Snow,Dinner,Host,157,7,6,2,4,6.5,15.0,390.0,3.28
2024-01-22,0,Monday,0,0,1,Snow,Dinner,Cashier,157,6,7,0,7,6.5,14.0,637.0,4.79
2024-01-22,0,Monday,0,0,1,Snow,Dinner,Dishwasher,157,8,7,0,7,6.5,13.0,591.5,4.52
2024-01-23,1,Tuesday,0,0,0,Rainy,Lunch,Server,101,13,14,0,14,5.0,14.0,980.0,4.69
2024-01-23,1,Tuesday,0,0,0,Rainy,Lunch,Cook,101,7,8,0,8,5.0,20.0,800.0,4.86
2024-01-23,1,Tuesday,0,0,0,Rainy,Lunch,Host,101,5,5,1,4,5.0,15.0,300.0,3.97
2024-01-23,1,Tuesday,0,0,0,Rainy,Lunch,Cashier,101,4,5,1,4,5.0,14.0,280.0,4.76
2024-01-23,1,Tuesday,0,0,0,Rainy,Lunch,Dishwasher,101,5,6,0,6,5.0,13.0,390.0,4.75
2024-01-23,1,Tuesday,0,0,0,Rainy,Dinner,Server,146,19,19,0,19,6.5,14.0,1729.0,4.64
2024-01-23,1,Tuesday,0,0,0,Rainy,Dinner,Cook,146,10,10,0,10,6.5,20.0,1300.0,4.78
2024-01-23,1,Tuesday,0,0,0,Rainy,Dinner,Host,146,6,6,1,5,6.5,15.0,487.5,4.33
2024-01-23,1,Tuesday,0,0,0,Rainy,Dinner,Cashier,146,6,6,0,6,6.5,14.0,546.0,4.87
